Dialog_ID,Type,Actor,Text,Label
hit:10300_conv:20600,situation,none,I am terrified of spiders,terrified
hit:10300_conv:20600,utterance,speaker,"I am terrified of spiders, one time I saw one on my wall and stared at it for hours to keep track of where it was",terrified
hit:10300_conv:20600,utterance,listener,"What makes you so afraid of them? They do eat all the other creepy-crawlies, after all.",terrified
hit:10300_conv:20600,utterance,speaker,It's all their legs and eyes...*shivers* just imagining it gives me chills up my spine!,agreeing
hit:10300_conv:20600,utterance,listener,"True, they aren't a very visually appealing species. But at least they're more afraid of you, that's some consolation.",neutral
hit:7173_conv:14347,situation,none,A tornado came through my area last week,terrified
hit:7173_conv:14347,utterance,speaker,A tornado came through my area last week,terrified
hit:7173_conv:14347,utterance,listener,"Wow, that's hardcore, are you alright?",questioning
hit:7173_conv:14347,utterance,speaker,yea i thought i might die tho,neutral
hit:7173_conv:14347,utterance,listener,"I would've thought the same, is your house ok?",questioning
hit:7661_conv:15322,situation,none,"Last Wednesday my nieces called me to let me know that my sister was lying in bed and that they could not wake her up no matter what they did. She ended up being fine, not sure what happened.",terrified
hit:7661_conv:15322,utterance,speaker,"I got a scary call from my nieces earlier this week. Apparently no matter what they did, they could not awaken her from her sleep.",terrified
hit:7661_conv:15322,utterance,listener,"Wow, that must've been awful! How did it all turn out?",questioning
hit:7661_conv:15322,utterance,speaker,"I apologize, they couldn't wake my sister up.  Thank God she ended up being okay, the EMT's checked her out...we have no idea what happened.",caring
hit:7661_conv:15322,utterance,listener,"That sounds really scary, I'm so glad it all turned out fine.",acknowledging
hit:12151_conv:24303,situation,none,I used to eat McDonald's every time I would get drunk in college...now I'm scared to even touch it haha,terrified
hit:12151_conv:24303,utterance,speaker,McDonald's used to be my go-to when my college friends and I got drunk...now I'm scared to even touch it haha,apprehensive
hit:12151_conv:24303,utterance,listener,"I hear you.  I still love the McNuggets, but I never eat them since I went Vegan.",agreeing
hit:12151_conv:24303,utterance,speaker,"That's awesome.  I alternate between meat days and vegetarian days, I definitely notice more energy in my body",acknowledging
hit:12151_conv:24303,utterance,listener,"It's the best,  but it is hard to give up the delicious fried meats, though.",neutral
